Reporte de valorizado;Fecha Corte;8/09/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Codigo Articulo;Descripcion;Nombre Comercial;Cod Barras;Invima;CUM;CODIGO ATC;Unidades;Grupo;Sub Grupo;Familia;cod Bod;Bodega;ID Sistema;Estado;Presentacion;Embalaje;Principio Activo;Forma Farmaceutica;Concentracion;Unidad Medida Rips;Codigo Parametro contable;Descripcion Parametro contable;% IVA;Alto Costo;Cadena de Frio;Categoria;Precio Maximo;Precio Maximo VMR;Controlado;Costo Promedio;Ult Costo Compras;Valorizado Total;Mercancia en Consignación
;N00008;DIBEN ORIGINAL BLS X 500 ML CJA X 15 - INSTITUCIONAL;DIBEN;7709990077339;RSA-0030029-2024;;;54;FRESENIUS;General;General;524;DISP. MENNAR 2;16742;N;BOLSA;15;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;16691,5702;16606;901344,7908;NO
;N00010;ENSURE ADVANCE LIQUIDO BOT X 220 ML CJA X 16 - INSTITUCIONAL;ENSURE ADVANCE;8710428018670;RSIA16I178915;;;2;ABBOTT;General;General;332;Disp. MENNAR CALOTO 1;16744;N;FRASCO;16;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;9670,8595;9934;19341,719;NO
;N00011;ENSURE ADVANCE LTA X 400 G CJA X 24 - INSTITUCIONAL;ENSURE ADVANCE;8427030004549;RSA-004359-2017;;;2;ABBOTT;General;General;280;DISP. MENNAR 1;16745;N;LATA;24;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;39220,285;39120;78440,57;NO
;N00011;ENSURE ADVANCE LTA X 400 G CJA X 24 - INSTITUCIONAL;ENSURE ADVANCE;8427030004549;RSA-004359-2017;;;6;ABBOTT;General;General;284;Disp. MENNAR SANTANDER 1;16745;N;LATA;24;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;39220,285;39120;235321,71;NO
;N00011;ENSURE ADVANCE LTA X 400 G CJA X 24 - INSTITUCIONAL;ENSURE ADVANCE;8427030004549;RSA-004359-2017;;;2;ABBOTT;General;General;300;Disp. MENNAR TIMBIQUI 1;16745;N;LATA;24;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;39220,285;39120;78440,57;NO
;N00011;ENSURE ADVANCE LTA X 400 G CJA X 24 - INSTITUCIONAL;ENSURE ADVANCE;8427030004549;RSA-004359-2017;;;25;ABBOTT;General;General;304;Disp. MENNAR MIRANDA 1;16745;N;LATA;24;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;39220,285;39120;980507,125;NO
;N00011;ENSURE ADVANCE LTA X 400 G CJA X 24 - INSTITUCIONAL;ENSURE ADVANCE;8427030004549;RSA-004359-2017;;;3;ABBOTT;General;General;312;Disp. MENNAR TIMBIO 1;16745;N;LATA;24;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;39220,285;39120;117660,855;NO
;N00011;ENSURE ADVANCE LTA X 400 G CJA X 24 - INSTITUCIONAL;ENSURE ADVANCE;8427030004549;RSA-004359-2017;;;24;ABBOTT;General;General;395;DISP. MENNAR ALMAGUER 1;16745;N;LATA;24;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;39220,285;39120;941286,84;NO
;N00011;ENSURE ADVANCE LTA X 400 G CJA X 24 - INSTITUCIONAL;ENSURE ADVANCE;8427030004549;RSA-004359-2017;;;11;ABBOTT;General;General;417;DISP. MENNAR INZA 1;16745;N;LATA;24;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;39220,285;39120;431423,135;NO
;N00011;ENSURE ADVANCE LTA X 400 G CJA X 24 - INSTITUCIONAL;ENSURE ADVANCE;8427030004549;RSA-004359-2017;;;8;ABBOTT;General;General;486;DISP. MENNAR PIAMONTE 1;16745;N;LATA;24;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;39220,285;39120;313762,28;NO
;N00011;ENSURE ADVANCE LTA X 400 G CJA X 24 - INSTITUCIONAL;ENSURE ADVANCE;8427030004549;RSA-004359-2017;;;56;ABBOTT;General;General;509;DISP. MENNAR 5;16745;N;LATA;24;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;39220,285;39120;2196335,96;NO
;N00011;ENSURE ADVANCE LTA X 400 G CJA X 24 - INSTITUCIONAL;ENSURE ADVANCE;8427030004549;RSA-004359-2017;;;83;ABBOTT;General;General;524;DISP. MENNAR 2;16745;N;LATA;24;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;39220,285;39120;3255283,655;NO
;N00012;ENSURE ADVANCE LTA X 850 G CJA X 12 - INSTITUCIONAL;ENSURE ADVANCE;7703186030108;RSA-004359-2017;;;4;ABBOTT;General;General;280;DISP. MENNAR 1;16746;N;LATA;12;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;75038,2474;74942;300152,9896;NO
;N00012;ENSURE ADVANCE LTA X 850 G CJA X 12 - INSTITUCIONAL;ENSURE ADVANCE;7703186030108;RSA-004359-2017;;;5;ABBOTT;General;General;284;Disp. MENNAR SANTANDER 1;16746;N;LATA;12;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;75038,2474;74942;375191,237;NO
;N00012;ENSURE ADVANCE LTA X 850 G CJA X 12 - INSTITUCIONAL;ENSURE ADVANCE;7703186030108;RSA-004359-2017;;;1;ABBOTT;General;General;328;Disp. MENNAR PATIA 1;16746;N;LATA;12;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;75038,2474;74942;75038,2474;NO
;N00012;ENSURE ADVANCE LTA X 850 G CJA X 12 - INSTITUCIONAL;ENSURE ADVANCE;7703186030108;RSA-004359-2017;;;3;ABBOTT;General;General;475;DISP. MENNAR 4;16746;N;LATA;12;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;75038,2474;74942;225114,7422;NO
;N00012;ENSURE ADVANCE LTA X 850 G CJA X 12 - INSTITUCIONAL;ENSURE ADVANCE;7703186030108;RSA-004359-2017;;;3;ABBOTT;General;General;495;BODEGA PRINCIPAL CEDI;16746;N;LATA;12;;;;G;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;75038,2474;74942;225114,7422;NO
